ISO3,yearly_prod_mean_1994_2019
AFG,79863.304
ALB,20510.329
DZA,4102.7
ARG,2980247.328
ARM,264.437
AUS,57043.171
AUT,10.154
AZE,8222.568
BLR,5183.249
BEL,71287.702
BTN,290.452
BOL,14005.498
BIH,55092.248
BRA,65090.633
BGR,704.059
CAN,920398.711
CHL,503255.316
CHN,51623.507
COL,3060.986
HRV,5525.819
CYP,222794.409
CZE,67208.97
PRK,5418.493
DNK,17275.522
ECU,7399.352
EGY,9940.843
SLV,71109.961
EST,0.0
FIN,304.607
FRA,224832.734
GEO,3724857.043
DEU,8752.384
GRC,38881.504
GRD,3233009.049
GTM,25260.079
HND,2652633.38
HUN,169640.97
IND,476014.049
IRN,34148211.906
IRQ,138572.444
IRL,498.402
ISR,121224.902
ITA,35668745.574
JPN,
JOR,
KAZ,
KEN,
KGZ,
LVA,
LBN,
LBY,
LTU,
LUX,
MDG,
MWI,
MLT,
MEX,
MNE,
MAR,
NPL,
NLD,
NZL,
MKD,
NOR,
PAK,
PRY,
PER,
POL,
PRT,
KOR,
MDA,
ROU,
RUS,
VCT,
SRB,
SVK,
SVN,
ZAF,
ESP,
SWE,
CHE,
SYR,
TJK,
TUN,
TUR,
TKM,
UKR,
GBR,
USA,
URY,
UZB,
YEM,
ZWE,
